InvoiceNo,Date,Country,ProductID,Shop,Gender,Size (US),Size (Europe),Size (UK),UnitPrice,Discount,Year,Month,SalePrice
52482,41656.94611,United States,2177,US15,Male,14,47,13.5,159,0.1,2014,1,143.1
52483,41657.21611,Canada,2241,CAN5,Male,9.5,42-43,9,139,0.2,2014,1,111.2
52484,41657.31611,United Kingdom,2221,UK2,Female,6.5,37,4.5,159,0.2,2014,1,127.2
52485,41657.48611,United States,2204,US6,Female,7.5,38,5.5,169,0,2014,1,169
52485,41657.48611,United States,2233,US1,Female,9.5,40,7.5,149,0.3,2014,1,104.3
52486,41657.69611,United States,2210,US2,Female,7.5,38,5.5,189,0,2014,1,189
52486,41657.69611,United States,2191,US9,Male,10.5,43-44,10,199,0,2014,1,199
52486,41657.69611,United States,2161,US15,Male,10,43,9.5,139,0,2014,1,139
52487,41657.76611,United States,2154,US15,Female,8,38-39,6,139,0.3,2014,1,97.3
52488,41657.94611,Canada,2211,CAN7,Female,8.5,39,6.5,149,0,2014,1,149
52489,41657.97611,Germany,2151,GER2,Male,6,39,5.5,199,0,2014,1,199
52490,41658.08611,United States,2235,US15,Female,9.5,40,7.5,139,0,2014,1,139
52491,41658.08611,Germany,2214,GER3,Male,10.5,43-44,10,139,0,2014,1,139
52492,41658.21611,Germany,2209,GER3,Female,7.5,38,5.5,169,0.2,2014,1,135.2
52493,41658.48611,United States,2232,US4,Female,7.5,38,5.5,169,0,2014,1,169
52493,41658.48611,United States,2150,US8,Male,9.5,42-43,9,199,0,2014,1,199
52494,41658.60611,United Kingdom,2202,UK4,Male,9,42,8.5,199,0,2014,1,199
52495,41658.76611,Germany,2185,GER1,Male,8,41,7.5,179,0,2014,1,179
52496,41658.90611,Canada,2156,CAN6,Male,9,42,8.5,189,0,2014,1,189
52496,41658.90611,Canada,2189,CAN7,Male,11,44,10.5,129,0.3,2014,1,90.3
52497,41658.94611,Canada,2236,CAN7,Female,8.5,39,6.5,129,0,2014,1,129
52498,41658.97611,Germany,2189,GER2,Female,7.5,38,5.5,139,0.5,2014,1,69.5
52499,41659.08611,United States,2180,US15,Female,8,38-39,6,149,0,2014,1,149
52499,41659.08611,United States,2204,US15,Female,9.5,40,7.5,169,0.1,2014,1,152.1
52500,41659.60611,United Kingdom,2154,UK2,Male,9.5,42-43,9,139,0,2014,1,139
52501,41659.76611,Germany,2192,GER1,Male,11,44,10.5,199,0,2014,1,199
52502,41659.76611,United States,2230,US15,Female,8,38-39,6,129,0,2014,1,129
52503,41659.90611,Canada,2185,CAN7,Male,7.5,40-41,7,169,0,2014,1,169
52503,41659.90611,Canada,2156,CAN6,Male,9,42,8.5,189,0,2014,1,189
52504,41659.97611,Germany,2180,GER3,Female,7.5,38,5.5,139,0,2014,1,139
52505,41660.08611,United States,2154,US15,Female,8,38-39,6,139,0.3,2014,1,97.3
52505,41660.08611,United States,2214,US15,Female,9.5,40,7.5,149,0.5,2014,1,74.5
52506,41660.39611,Germany,2238,GER1,Male,11.5,44-45,11,129,0.1,2014,1,116.1
52507,41660.50611,Germany,2151,GER1,Male,9.5,42-43,9,149,0.2,2014,1,119.2
52508,41660.60611,United Kingdom,2222,UK4,Female,9,39-40,7,159,0,2014,1,159
52509,41660.76611,United States,2177,US5,Female,7.5,38,5.5,159,0.2,2014,1,127.2
52510,41660.90611,Canada,2178,CAN5,Male,9.5,42-43,9,139,0.1,2014,1,125.1
52510,41660.90611,Canada,2185,CAN7,Male,7.5,40-41,7,169,0,2014,1,169
52511,41661.39611,Germany,2199,GER2,Male,11.5,44-45,11,189,0,2014,1,189
52512,41661.42611,Germany,2200,GER2,Female,7,37-38,5,129,0,2014,1,129
52513,41661.50611,United States,2183,US4,Female,8,38-39,6,149,0,2014,1,149
52514,41661.67611,United States,2175,US15,Male,9,42,8.5,179,0.5,2014,1,89.5
52515,41661.76611,United States,2204,US6,Female,7.5,38,5.5,169,0,2014,1,169
52516,41662.39611,United States,2152,US15,Female,7.5,38,5.5,149,0.3,2014,1,104.3
52517,41662.42611,Canada,2189,CAN7,Male,11,44,10.5,129,0.3,2014,1,90.3
52518,41662.50611,United States,2163,US12,Female,8,38-39,6,149,0,2014,1,149
52519,41662.55611,United States,2172,US13,Male,10.5,43-44,10,129,0.2,2014,1,103.2
52520,41662.55611,Germany,2191,GER2,Male,9.5,42-43,9,199,0.3,2014,1,139.3
52521,41662.67611,United States,2213,US6,Male,11.5,44-45,11,179,0.3,2014,1,125.3
52522,41662.91611,United States,2173,US7,Female,9.5,40,7.5,199,0,2014,1,199
52522,41662.91611,United States,2190,US13,Female,9.5,40,7.5,169,0.3,2014,1,118.3
52523,41663.04611,Germany,2233,GER3,Male,9.5,42-43,9,179,0,2014,1,179
52524,41663.42611,Canada,2156,CAN6,Male,9,42,8.5,189,0,2014,1,189
52525,41663.46611,United States,2158,US13,Male,10.5,43-44,10,159,0.2,2014,1,127.2
52526,41663.55611,United States,2219,US13,Male,10.5,43-44,10,139,0,2014,1,139
52527,41663.55611,Canada,2227,CAN1,Female,8,38-39,6,179,0.3,2014,1,125.3
52528,41663.67611,United States,2211,US6,Male,9.5,42-43,9,189,0,2014,1,189
52529,41663.68611,United States,2164,US5,Female,8,38-39,6,149,0,2014,1,149
52530,41663.91611,United States,2175,US15,Male,9,42,8.5,179,0.5,2014,1,89.5
52530,41663.91611,United States,2173,US7,Female,9.5,40,7.5,199,0,2014,1,199
52531,41664.04611,United Kingdom,2169,UK4,Female,7.5,38,5.5,189,0.2,2014,1,151.2
52532,41664.25611,Canada,2217,CAN5,Male,7,40,6.5,199,0,2014,1,199
52533,41664.26611,Canada,2151,CAN5,Female,9,39-40,7,129,0.5,2014,1,64.5
52534,41664.46611,United States,2235,US13,Male,8.5,41-42,8,169,0.3,2014,1,118.3
52535,41664.55611,Germany,2169,GER1,Male,9.5,42-43,9,129,0,2014,1,129
52535,41664.55611,Germany,2197,GER1,Female,8.5,39,6.5,179,0.2,2014,1,143.2
52536,41664.68611,Germany,2151,GER1,Male,9.5,42-43,9,149,0.2,2014,1,119.2
52537,41664.88611,United States,2203,US8,Female,8,38-39,6,179,0.5,2014,1,89.5
52538,41664.91611,United States,2213,US6,Male,11.5,44-45,11,179,0.3,2014,1,125.3
52538,41664.91611,United States,2175,US15,Male,9,42,8.5,179,0.5,2014,1,89.5
52539,41665.04611,United Kingdom,2227,UK1,Female,7.5,38,5.5,129,0.5,2014,1,64.5
52540,41665.25611,Germany,2200,GER2,Female,7,37-38,5,129,0,2014,1,129
52541,41665.26611,Canada,2154,CAN6,Female,9,39-40,7,129,0,2014,1,129
52542,41665.46611,United States,2147,US15,Female,8.5,39,6.5,189,0,2014,1,189
52543,41665.68611,United States,2183,US4,Female,8,38-39,6,149,0,2014,1,149
52544,41665.80611,United Kingdom,2158,UK4,Female,6,36-37,4,189,0,2014,1,189
52545,41665.88611,United States,2226,US8,Female,8,38-39,6,199,0.3,2014,1,139.3
52546,41665.91611,Germany,2227,GER1,Female,9,39-40,7,149,0.1,2014,1,134.1
52547,41666.25611,Canada,2189,CAN7,Male,11,44,10.5,129,0.3,2014,1,90.3
52548,41666.26611,United Kingdom,2224,UK3,Male,8.5,41-42,8,129,0.5,2014,1,64.5
52549,41666.80611,Canada,2198,CAN5,Male,9,42,8.5,169,0.3,2014,1,118.3
52550,41666.86611,Germany,2201,GER1,Male,10,43,9.5,149,0,2014,1,149
52551,41666.88611,United States,2164,US5,Female,8,38-39,6,149,0,2014,1,149
52552,41666.91611,Germany,2189,GER3,Female,9,39-40,7,149,0.3,2014,1,104.3
52553,41667.22611,Germany,2219,GER3,Male,10.5,43-44,10,179,0.3,2014,1,125.3
52554,41667.80611,United Kingdom,2224,UK3,Female,6,36-37,4,129,0,2014,1,129
52555,41667.86611,Germany,2233,GER3,Male,9.5,42-43,9,179,0,2014,1,179
52556,41667.91611,Germany,2210,GER3,Female,9,39-40,7,169,0.5,2014,1,84.5
52557,41668.16611,United States,2231,US5,Male,10,43,9.5,159,0.1,2014,1,143.1
52558,41668.22611,Canada,2220,CAN5,Female,8,38-39,6,169,0,2014,1,169
52559,41668.86611,United Kingdom,2169,UK4,Female,7.5,38,5.5,189,0.2,2014,1,151.2
52560,41669.07611,United States,2228,US15,Male,9.5,42-43,9,169,0,2014,1,169
52560,41669.07611,United States,2165,US3,Female,8,38-39,6,189,0,2014,1,189
52561,41669.16611,United States,2234,US12,Female,9.5,40,7.5,159,0,2014,1,159
52562,41669.22611,Germany,2191,GER2,Male,9.5,42-43,9,199,0.3,2014,1,139.3
52563,41669.67611,United States,2190,US15,Male,8.5,41-42,8,189,0.5,2014,1,94.5
52564,41670.07611,United States,2195,US15,Male,11.5,44-45,11,199,0.2,2014,1,159.2
52564,41670.07611,United States,2228,US15,Male,9.5,42-43,9,169,0,2014,1,169
52565,41670.16611,United States,2166,US12,Male,9,42,8.5,139,0,2014,1,139
52566,41670.57611,Germany,2165,GER1,Female,10.5,41,8.5,179,0.2,2014,1,143.2
52567,41670.59611,United States,2180,US15,Female,8,38-39,6,149,0,2014,1,149
52567,41670.59611,United States,2208,US15,Female,8,38-39,6,159,0,2014,1,159
52567,41670.59611,United States,2237,US10,Female,8,38-39,6,129,0.1,2014,1,116.1
52568,41670.67611,United States,2177,US15,Male,14,47,13.5,159,0.1,2014,1,143.1
52569,41670.86611,Canada,2147,CAN3,Female,8,38-39,6,169,0.1,2014,1,152.1
52570,41671.07611,United States,2193,US15,Male,10.5,43-44,10,199,0,2014,2,199
52570,41671.07611,United States,2195,US15,Male,11.5,44-45,11,199,0.2,2014,2,159.2
52571,41671.57611,Germany,2212,GER2,Female,10.5,41,8.5,199,0,2014,2,199
52572,41671.59611,United States,2211,US15,Female,8,38-39,6,169,0,2014,2,169
52572,41671.59611,United States,2165,US3,Female,8,38-39,6,189,0,2014,2,189
52573,41671.59611,Germany,2214,GER3,Male,10.5,43-44,10,139,0,2014,2,139
52574,41671.67611,Canada,2211,CAN7,Female,8.5,39,6.5,149,0,2014,2,149
52575,41671.85611,Canada,2182,CAN2,Female,9,39-40,7,179,0,2014,2,179
52576,41671.86611,Canada,2214,CAN6,Female,8,38-39,6,189,0.1,2014,2,170.1
52577,41672.03611,United Kingdom,2222,UK4,Male,10.5,43-44,10,199,0.1,2014,2,179.1
52578,41672.03611,United States,2201,US15,Female,7.5,38,5.5,189,0,2014,2,189
52579,41672.57611,Germany,2181,GER2,Female,10.5,41,8.5,159,0,2014,2,159
52580,41672.59611,United States,2180,US15,Female,8,38-39,6,149,0,2014,2,149
52580,41672.59611,United States,2180,US15,Female,8,38-39,6,149,0,2014,2,149
52580,41672.59611,United States,2228,US15,Male,9.5,42-43,9,169,0,2014,2,169
52581,41672.67611,Germany,2147,GER1,Female,9,39-40,7,129,0,2014,2,129
52582,41672.85611,United Kingdom,2219,UK3,Male,9.5,42-43,9,189,0.1,2014,2,170.1
52583,41672.86611,Germany,2219,GER3,Male,10.5,43-44,10,179,0.3,2014,2,125.3
52584,41673.03611,United Kingdom,2211,UK5,Male,11.5,44-45,11,129,0,2014,2,129
52585,41673.03611,Germany,2212,GER3,Male,10,43,9.5,159,0,2014,2,159
52586,41673.12611,United States,2186,US12,Male,9.5,42-43,9,169,0,2014,2,169
52587,41673.14611,United Kingdom,2225,UK3,Male,8.5,41-42,8,149,0.5,2014,2,74.5
52588,41673.67611,Canada,2182,CAN2,Female,9,39-40,7,179,0,2014,2,179
52589,41673.73611,Canada,2195,CAN5,Male,10.5,43-44,10,179,0,2014,2,179
52589,41673.73611,Canada,2192,CAN3,Male,9,42,8.5,159,0,2014,2,159
52590,41673.85611,United Kingdom,2208,UK2,Male,10,43,9.5,179,0,2014,2,179
52591,41674.03611,United States,2186,US15,Female,7.5,38,5.5,179,0,2014,2,179
52591,41674.03611,United States,2237,US15,Female,9,39-40,7,139,0.3,2014,2,97.3
52592,41674.12611,United States,2217,US12,Female,8.5,39,6.5,189,0.3,2014,2,132.3
52593,41674.14611,United States,2196,US15,Female,9,39-40,7,169,0,2014,2,169
52594,41674.50611,United States,2222,US12,Male,10,43,9.5,139,0.1,2014,2,125.1
52595,41674.50611,Germany,2198,GER1,Male,10.5,43-44,10,189,0,2014,2,189
52596,41674.67611,United Kingdom,2219,UK3,Male,9.5,42-43,9,189,0.1,2014,2,170.1
52597,41674.73611,Canada,2151,CAN6,Male,10,43,9.5,159,0,2014,2,159
52597,41674.73611,Canada,2195,CAN5,Male,10.5,43-44,10,179,0,2014,2,179
52598,41675.10611,United States,2158,US14,Male,9.5,42-43,9,179,0.2,2014,2,143.2
52599,41675.12611,United States,2155,US2,Female,8.5,39,6.5,189,0,2014,2,189
52600,41675.14611,United States,2183,US15,Female,9,39-40,7,139,0.5,2014,2,69.5
52601,41675.50611,United States,2174,US12,Male,6,39,5.5,139,0.1,2014,2,125.1
52602,41675.50611,United Kingdom,2184,UK2,Female,8,38-39,6,179,0,2014,2,179
52603,41675.73611,Canada,2217,CAN5,Male,7,40,6.5,199,0,2014,2,199
52603,41675.73611,Canada,2151,CAN6,Male,10,43,9.5,159,0,2014,2,159
52604,41676.05611,United States,2152,US15,Female,8,38-39,6,139,0,2014,2,139
52605,41676.10611,United States,2150,US9,Male,9.5,42-43,9,189,0,2014,2,189
52606,41676.50611,United Kingdom,2156,UK5,Female,8,38-39,6,169,0.1,2014,2,152.1
52606,41676.50611,United Kingdom,2167,UK2,Female,8.5,39,6.5,149,0,2014,2,149
52607,41676.87611,Germany,2150,GER3,Female,7,37-38,5,179,0.3,2014,2,125.3
52608,41677.05611,United States,2199,US3,Female,8,38-39,6,169,0.1,2014,2,152.1
52609,41677.10611,United States,2231,US5,Male,10,43,9.5,159,0.1,2014,2,143.1
52610,41677.56611,United States,2217,US3,Female,9.5,40,7.5,139,0,2014,2,139
52611,41677.87611,Canada,2192,CAN3,Male,9,42,8.5,159,0,2014,2,159
52612,41678.05611,United States,2231,US15,Male,11,44,10.5,189,0,2014,2,189
52613,41678.22611,United Kingdom,2201,UK5,Male,9,42,8.5,199,0,2014,2,199
52614,41678.56611,United States,2158,US14,Male,9.5,42-43,9,179,0.2,2014,2,143.2
52615,41678.87611,Canada,2195,CAN5,Male,10.5,43-44,10,179,0,2014,2,179
52616,41679.01611,United States,2224,US3,Female,9.5,40,7.5,169,0,2014,2,169
52617,41679.17611,Canada,2207,CAN2,Male,10.5,43-44,10,159,0,2014,2,159
52618,41679.22611,United Kingdom,2221,UK5,Male,10.5,43-44,10,139,0,2014,2,139
52619,41679.56611,United States,2150,US9,Male,9.5,42-43,9,189,0,2014,2,189
52620,41679.68611,Germany,2152,GER2,Male,9,42,8.5,149,0,2014,2,149
52621,41679.81611,United States,2229,US14,Male,9,42,8.5,129,0,2014,2,129
52622,41679.81611,Germany,2210,GER1,Female,9.5,40,7.5,129,0,2014,2,129
52623,41680.01611,United States,2217,US3,Female,9.5,40,7.5,139,0,2014,2,139
52624,41680.17611,Germany,2150,GER3,Female,7,37-38,5,179,0.3,2014,2,125.3
52625,41680.22611,United Kingdom,2172,UK3,Male,8.5,41-42,8,179,0,2014,2,179
52626,41680.67611,United States,2210,US14,Male,9.5,42-43,9,159,0,2014,2,159
52627,41680.68611,United States,2208,US15,Female,8,38-39,6,159,0,2014,2,159
52628,41680.81611,Germany,2157,GER2,Female,9.5,40,7.5,169,0.1,2014,2,152.1
52629,41680.81611,United States,2225,US15,Male,10,43,9.5,199,0.3,2014,2,139.3
52630,41681.01611,United States,2158,US14,Male,9.5,42-43,9,179,0.2,2014,2,143.2
52631,41681.17611,Canada,2192,CAN3,Male,9,42,8.5,159,0,2014,2,159
52632,41681.21611,Germany,2241,GER1,Male,9.5,42-43,9,129,0.2,2014,2,103.2
52633,41681.67611,United States,2232,US12,Female,10,40-41,8,159,0.5,2014,2,79.5
52634,41681.68611,United States,2211,US15,Female,8,38-39,6,169,0,2014,2,169
52635,41681.81611,Germany,2239,GER1,Female,9.5,40,7.5,159,0.5,2014,2,79.5
52635,41681.81611,Germany,2210,GER1,Female,9.5,40,7.5,129,0,2014,2,129
52636,41681.97611,United Kingdom,2232,UK2,Male,10.5,43-44,10,199,0,2014,2,199
52637,41681.97611,United States,2178,US15,Female,8.5,39,6.5,169,0,2014,2,169
52638,41682.21611,Germany,2151,GER2,Male,6,39,5.5,199,0,2014,2,199
52639,41682.30611,Germany,2225,GER1,Male,8.5,41-42,8,139,0,2014,2,139
52640,41682.47611,United States,2161,US9,Female,8,38-39,6,189,0,2014,2,189
52641,41682.67611,United States,2169,US3,Female,10,40-41,8,169,0.3,2014,2,118.3
52642,41682.97611,United Kingdom,2225,UK3,Male,8.5,41-42,8,149,0.5,2014,2,74.5
52643,41682.97611,United States,2229,US13,Male,9,42,8.5,149,0,2014,2,149
52644,41683.21611,Germany,2189,GER2,Female,7.5,38,5.5,139,0.5,2014,2,69.5
52645,41683.30611,Canada,2204,CAN5,Female,8,38-39,6,129,0,2014,2,129
52646,41683.31611,Germany,2177,GER2,Female,9,39-40,7,149,0,2014,2,149
52647,41683.47611,United States,2147,US15,Male,11,44,10.5,139,0.5,2014,2,69.5
52648,41683.97611,United States,2241,US15,Female,8.5,39,6.5,139,0.1,2014,2,125.1
52648,41683.97611,United States,2196,US15,Female,9,39-40,7,169,0,2014,2,169
52649,41683.98611,United States,2155,US14,Male,9,42,8.5,129,0.2,2014,2,103.2
52650,41684.30611,Germany,2176,GER2,Male,9.5,42-43,9,149,0,2014,2,149
52651,41684.31611,United Kingdom,2201,UK5,Male,9,42,8.5,199,0,2014,2,199
