EmployeeCount,EmployeeID,Department,JobRole,Attrition,Gender,Age,MaritalStatus,Education,EducationField,BusinessTravel,JobInvolvement,JobLevel,JobSatisfaction,Hourlyrate,Salaryhike,OverTime,Workex,YearsSinceLastPromotion,EmpSatisfaction,TrainingTimesLastYear,WorkLifeBalance,Performance_Rating,Income,Income_Mean
1,54,Research & Development,Laboratory Technician,No,Female,27,Divorced,Master,Life Sciences,Travel_Rarely,High,1,Low,33,13,No,1,0,Very High,6,Better,Excellent,2341,5098.233333
1,55,Research & Development,Laboratory Technician,Yes,Male,26,Single,Bachelor,Life Sciences,Travel_Rarely,Low,1,High,48,12,No,1,0,Low,2,Good,Excellent,2293,5098.233333
1,56,Sales,Sales Executive,No,Male,27,Single,Bachelor,Life Sciences,Travel_Frequently,High,3,High,37,15,No,9,1,Very High,0,Better,Excellent,8726,5098.233333
1,57,Research & Development,Laboratory Technician,No,Female,30,Single,College,Medical,Travel_Frequently,High,2,Very High,58,23,No,12,3,High,2,Better,Outstanding,4011,5098.233333
1,58,Research & Development,Research Director,Yes,Female,41,Married,Bachelor,Technical Degree,Travel_Rarely,High,5,High,49,12,No,23,15,Medium,0,Better,Excellent,19545,5098.233333
1,60,Sales,Sales Executive,No,Male,34,Single,Master,Marketing,Non-Travel,High,2,High,72,20,No,10,8,Medium,2,Better,Outstanding,4568,5098.233333
1,61,Research & Development,Research Scientist,No,Male,37,Married,College,Life Sciences,Travel_Rarely,High,1,Medium,73,21,No,8,0,Medium,1,Better,Outstanding,3022,5098.233333
1,62,Sales,Sales Executive,No,Male,46,Single,Master,Marketing,Travel_Frequently,High,2,Very High,98,21,Yes,14,0,Low,4,Better,Outstanding,5772,5098.233333
1,63,Research & Development,Laboratory Technician,No,Male,35,Married,Below College,Life Sciences,Travel_Rarely,Very High,1,Very High,36,19,No,1,0,Very High,2,Better,Excellent,2269,5098.233333
1,64,Research & Development,Laboratory Technician,Yes,Male,48,Single,College,Life Sciences,Travel_Rarely,Medium,3,High,98,13,Yes,23,0,Low,2,Better,Excellent,5381,5098.233333
1,65,Research & Development,Laboratory Technician,Yes,Male,28,Single,Master,Technical Degree,Travel_Rarely,High,1,High,50,13,Yes,2,2,High,3,Good,Excellent,3441,5098.233333
1,68,Sales,Sales Executive,No,Female,44,Divorced,Doctor,Marketing,Travel_Rarely,High,2,Low,75,21,Yes,9,1,Medium,2,Good,Outstanding,5454,5098.233333
1,70,Research & Development,Healthcare Representative,No,Male,35,Married,College,Medical,Non-Travel,Medium,3,Low,79,13,Yes,10,2,High,3,Better,Excellent,9884,5098.233333
1,72,Sales,Sales Executive,No,Female,26,Married,Bachelor,Marketing,Travel_Rarely,Medium,2,Very High,47,19,Yes,5,0,High,2,Good,Excellent,4157,5098.233333
1,73,Research & Development,Research Director,No,Female,33,Single,College,Life Sciences,Travel_Frequently,High,3,Very High,98,12,Yes,15,8,Low,1,Better,Excellent,13458,5098.233333
1,74,Sales,Sales Executive,No,Male,35,Married,Doctor,Life Sciences,Travel_Frequently,High,3,Low,71,22,No,9,1,Medium,3,Good,Outstanding,9069,5098.233333
1,75,Research & Development,Laboratory Technician,No,Female,35,Married,Master,Medical,Travel_Rarely,High,1,Low,30,15,Yes,4,2,High,3,Better,Excellent,4014,5098.233333
1,76,Research & Development,Laboratory Technician,No,Male,31,Divorced,Master,Life Sciences,Travel_Rarely,High,2,Very High,48,22,No,10,1,Very High,3,Good,Outstanding,5915,5098.233333
1,77,Research & Development,Manufacturing Director,No,Male,37,Divorced,Master,Life Sciences,Travel_Rarely,Medium,2,High,51,18,No,7,0,Low,2,Best,Excellent,5993,5098.233333
1,78,Research & Development,Manufacturing Director,No,Male,32,Married,Bachelor,Medical,Travel_Rarely,High,2,Very High,33,22,Yes,9,7,Low,3,Better,Outstanding,6162,6516.966667
1,79,Research & Development,Laboratory Technician,No,Female,38,Single,Doctor,Life Sciences,Travel_Frequently,High,2,Very High,50,11,No,10,9,Very High,2,Better,Excellent,2406,6516.966667
1,80,Research & Development,Research Director,No,Female,50,Divorced,College,Medical,Travel_Rarely,Medium,5,High,43,12,Yes,29,13,Medium,2,Good,Excellent,18740,6516.966667
1,81,Sales,Sales Executive,No,Female,59,Single,Bachelor,Life Sciences,Travel_Rarely,High,3,Low,99,11,No,28,7,Low,3,Good,Excellent,7637,6516.966667
1,83,Research & Development,Healthcare Representative,No,Female,36,Divorced,Bachelor,Technical Degree,Travel_Rarely,High,3,High,59,13,No,17,12,High,2,Better,Excellent,10096,6516.966667
1,84,Research & Development,Manager,No,Female,55,Divorced,Bachelor,Medical,Travel_Rarely,High,4,High,33,14,Yes,21,0,Very High,2,Better,Excellent,14756,6516.966667
1,85,Research & Development,Manufacturing Director,No,Male,36,Single,Bachelor,Life Sciences,Travel_Frequently,Medium,2,Medium,95,13,No,6,0,Medium,3,Better,Excellent,6499,6516.966667
1,86,Research & Development,Research Scientist,No,Male,45,Divorced,Bachelor,Life Sciences,Travel_Rarely,High,3,Low,59,17,No,25,0,Medium,2,Better,Excellent,9724,6516.966667
1,88,Research & Development,Research Scientist,No,Male,35,Married,Bachelor,Medical,Travel_Frequently,High,1,Low,79,13,No,5,1,Medium,2,Good,Excellent,2194,6516.966667
1,90,Research & Development,Research Scientist,Yes,Male,36,Married,Bachelor,Medical,Travel_Rarely,Medium,1,High,79,17,Yes,2,0,Very High,0,Good,Excellent,3388,6516.966667
1,91,Sales,Sales Executive,No,Female,59,Single,Below College,Life Sciences,Travel_Frequently,Medium,2,High,57,11,No,20,1,Low,2,Good,Excellent,5473,6516.966667
1,94,Research & Development,Research Scientist,No,Male,29,Married,Bachelor,Life Sciences,Travel_Rarely,High,1,Medium,76,23,No,6,0,High,3,Better,Outstanding,2703,6516.966667
1,95,Research & Development,Research Scientist,No,Male,31,Single,Master,Medical,Travel_Rarely,High,1,Medium,87,17,No,1,1,High,4,Better,Excellent,2501,6516.966667
1,96,Research & Development,Research Scientist,No,Male,32,Married,Bachelor,Life Sciences,Travel_Rarely,High,2,Medium,66,17,No,10,0,Medium,3,Better,Excellent,6220,6516.966667
1,97,Research & Development,Laboratory Technician,No,Female,36,Married,Bachelor,Life Sciences,Travel_Rarely,Very High,1,Very High,55,12,No,5,0,Medium,3,Better,Excellent,3038,6516.966667
1,98,Research & Development,Manufacturing Director,No,Female,31,Single,Master,Life Sciences,Travel_Rarely,High,2,Very High,61,23,No,11,1,High,2,Better,Outstanding,4424,6516.966667
1,100,Sales,Sales Executive,No,Male,35,Single,Master,Marketing,Travel_Rarely,Medium,2,Low,32,14,No,16,2,High,2,Better,Excellent,4312,6516.966667
1,101,Research & Development,Research Director,No,Male,45,Married,Master,Other,Travel_Rarely,High,3,Low,52,14,Yes,17,0,Very High,3,Best,Excellent,13245,6516.966667
1,102,Research & Development,Research Director,No,Male,37,Single,Master,Medical,Travel_Rarely,High,3,High,30,13,No,16,0,Low,3,Best,Excellent,13664,6516.966667
1,103,Human Resources,Human Resources,No,Male,46,Divorced,College,Medical,Travel_Rarely,High,2,Medium,80,22,Yes,16,0,Medium,2,Better,Outstanding,5021,6516.966667
1,104,Research & Development,Laboratory Technician,No,Male,30,Married,Below College,Life Sciences,Travel_Rarely,Medium,2,Very High,55,12,Yes,10,3,Very High,1,Good,Excellent,5126,6516.966667
1,105,Research & Development,Research Scientist,No,Male,35,Single,Bachelor,Medical,Travel_Rarely,Medium,1,High,30,18,No,6,0,Medium,3,Better,Excellent,2859,6516.966667
1,106,Sales,Sales Executive,No,Male,55,Married,College,Life Sciences,Travel_Rarely,High,3,Very High,70,14,No,24,1,Low,4,Better,Excellent,10239,6516.966667
1,107,Research & Development,Research Scientist,No,Female,38,Divorced,Bachelor,Medical,Non-Travel,Low,2,Very High,79,12,Yes,17,1,Medium,3,Better,Excellent,5329,6516.966667
1,110,Research & Development,Manufacturing Director,No,Male,34,Married,College,Medical,Travel_Rarely,High,2,Medium,94,15,No,5,1,Low,2,Better,Excellent,4325,6516.966667
1,112,Research & Development,Manufacturing Director,No,Male,56,Single,Bachelor,Life Sciences,Travel_Rarely,Low,3,Very High,49,11,No,37,0,Very High,3,Good,Excellent,7260,6516.966667
1,113,Sales,Sales Representative,No,Male,23,Divorced,Below College,Technical Degree,Travel_Rarely,High,1,Low,62,13,No,3,0,High,3,Better,Excellent,2322,6516.966667
1,116,Research & Development,Laboratory Technician,No,Male,51,Married,Master,Life Sciences,Travel_Rarely,High,1,Very High,96,23,No,10,0,Very High,4,Better,Outstanding,2075,6516.966667
1,117,Research & Development,Healthcare Representative,No,Male,30,Married,Bachelor,Life Sciences,Travel_Rarely,Medium,2,Very High,99,19,No,11,10,High,3,Better,Excellent,4152,6516.966667
1,118,Sales,Sales Executive,Yes,Male,46,Single,College,Medical,Travel_Rarely,Medium,3,Very High,64,16,No,9,4,High,3,Better,Excellent,9619,6516.966667
1,119,Research & Development,Healthcare Representative,No,Male,40,Married,Master,Life Sciences,Travel_Frequently,Medium,4,Medium,78,22,No,22,11,High,3,Good,Outstanding,13503,7724.066667
1,120,Sales,Sales Executive,No,Male,51,Single,Master,Marketing,Travel_Rarely,High,2,Very High,71,22,Yes,11,1,High,2,Bad,Outstanding,5441,7724.066667
1,121,Sales,Sales Executive,No,Female,30,Divorced,College,Medical,Travel_Rarely,Medium,2,Medium,63,12,Yes,11,2,High,4,Good,Excellent,5209,7724.066667
1,124,Research & Development,Healthcare Representative,No,Male,46,Married,Bachelor,Medical,Travel_Frequently,Medium,3,Low,40,13,Yes,21,9,High,5,Good,Excellent,10673,7724.066667
1,125,Sales,Sales Executive,No,Male,32,Single,Master,Medical,Travel_Rarely,High,2,High,87,16,No,12,5,Medium,0,Better,Excellent,5010,7724.066667
1,126,Research & Development,Research Director,No,Female,54,Married,Master,Technical Degree,Travel_Rarely,High,3,High,60,12,No,16,0,Low,5,Bad,Excellent,13549,7724.066667
1,128,Sales,Sales Executive,No,Female,24,Married,College,Other,Travel_Rarely,High,2,High,33,21,No,4,0,Low,2,Good,Outstanding,4999,7724.066667
1,129,Sales,Sales Executive,No,Male,28,Married,Bachelor,Medical,Non-Travel,High,2,High,43,15,No,5,0,Medium,3,Best,Excellent,4221,7724.066667
1,131,Sales,Sales Executive,No,Male,58,Single,Master,Medical,Travel_Rarely,High,4,High,37,13,No,38,1,Very High,1,Good,Excellent,13872,7724.066667
1,132,Research & Development,Laboratory Technician,No,Male,44,Married,Bachelor,Medical,Non-Travel,High,2,Medium,67,12,No,17,1,Medium,3,Best,Excellent,2042,7724.066667
1,133,Human Resources,Human Resources,Yes,Male,37,Divorced,Master,Human Resources,Travel_Rarely,High,1,Low,63,22,Yes,7,0,High,3,Better,Outstanding,2073,7724.066667
1,134,Research & Development,Research Scientist,No,Male,32,Single,Below College,Life Sciences,Travel_Rarely,High,1,Low,71,13,No,1,0,Very High,2,Better,Excellent,2956,7724.066667
1,137,Research & Development,Laboratory Technician,Yes,Female,20,Single,Bachelor,Life Sciences,Travel_Frequently,Medium,1,Very High,66,18,Yes,1,1,Very High,5,Better,Excellent,2926,7724.066667
1,138,Research & Development,Research Scientist,No,Female,34,Single,Master,Other,Travel_Rarely,High,2,High,41,14,No,16,2,Low,3,Better,Excellent,4809,7724.066667
1,139,Research & Development,Healthcare Representative,No,Male,37,Divorced,College,Life Sciences,Non-Travel,Medium,2,Very High,100,14,No,17,0,High,2,Best,Excellent,5163,7724.066667
1,140,Human Resources,Manager,No,Female,59,Married,Master,Human Resources,Non-Travel,Medium,5,Very High,32,21,No,30,2,High,3,Better,Outstanding,18844,7724.066667
1,141,Research & Development,Research Director,No,Female,50,Married,Bachelor,Life Sciences,Travel_Frequently,High,5,Medium,73,19,Yes,28,0,Low,1,Good,Excellent,18172,7724.066667
1,142,Sales,Sales Executive,Yes,Male,25,Single,Bachelor,Marketing,Travel_Rarely,Medium,2,High,46,11,Yes,6,0,High,1,Better,Excellent,5744,7724.066667
1,143,Research & Development,Research Scientist,No,Male,25,Married,Below College,Medical,Travel_Rarely,Medium,1,Very High,64,11,No,2,2,Very High,2,Better,Excellent,2889,7724.066667
1,144,Research & Development,Laboratory Technician,No,Female,22,Single,Bachelor,Medical,Travel_Rarely,High,1,Very High,59,15,No,1,0,Medium,5,Better,Excellent,2871,7724.066667
1,145,Research & Development,Healthcare Representative,No,Female,51,Single,Master,Medical,Travel_Frequently,Medium,3,Low,30,20,No,23,12,Low,1,Good,Outstanding,7484,7724.066667
1,147,Research & Development,Laboratory Technician,Yes,Male,34,Single,Bachelor,Life Sciences,Travel_Frequently,Low,2,High,66,24,Yes,9,0,Low,3,Better,Outstanding,6074,7724.066667
1,148,Human Resources,Manager,No,Female,54,Single,Bachelor,Human Resources,Non-Travel,Very High,4,Very High,30,12,Yes,23,4,Very High,3,Better,Excellent,17328,7724.066667
1,150,Research & Development,Laboratory Technician,No,Male,24,Married,Below College,Life Sciences,Travel_Rarely,High,1,High,52,12,No,6,1,Medium,2,Better,Excellent,2774,7724.066667
1,151,Research & Development,Research Scientist,No,Female,34,Divorced,Master,Life Sciences,Travel_Rarely,Medium,2,Medium,45,15,No,12,0,High,3,Better,Excellent,4505,7724.066667
1,152,Sales,Sales Executive,No,Male,37,Single,Bachelor,Life Sciences,Travel_Rarely,High,3,Very High,87,12,No,12,1,High,3,Better,Excellent,7428,7724.066667
1,153,Research & Development,Manager,No,Female,34,Single,Bachelor,Medical,Travel_Rarely,Medium,3,Low,45,12,No,14,5,High,6,Better,Excellent,11631,7724.066667
1,154,Sales,Sales Executive,No,Female,36,Married,College,Technical Degree,Travel_Frequently,High,3,Very High,92,14,No,10,2,Medium,6,Better,Excellent,9738,7724.066667
1,155,Research & Development,Laboratory Technician,No,Female,36,Divorced,College,Life Sciences,Travel_Rarely,High,1,Very High,39,22,No,7,0,Low,2,Better,Outstanding,2835,7724.066667
1,158,Sales,Manager,No,Male,43,Married,College,Life Sciences,Travel_Frequently,High,4,Very High,92,12,Yes,25,4,High,3,Best,Excellent,16959,7724.066667
1,159,Research & Development,Research Scientist,No,Male,30,Divorced,Bachelor,Life Sciences,Travel_Frequently,Low,1,High,96,25,No,10,0,Low,2,Good,Outstanding,2613,5836.233333
1,160,Sales,Sales Executive,No,Male,33,Married,College,Marketing,Non-Travel,High,2,Medium,95,13,No,8,0,High,2,Best,Excellent,6146,5836.233333
1,161,Research & Development,Research Scientist,Yes,Female,56,Married,Master,Life Sciences,Travel_Rarely,High,1,Medium,72,18,Yes,7,4,Medium,2,Better,Excellent,4963,5836.233333
1,162,Research & Development,Research Director,No,Male,51,Single,Bachelor,Life Sciences,Travel_Rarely,High,5,High,51,13,No,23,15,Low,5,Better,Excellent,19537,5836.233333
1,163,Sales,Sales Executive,Yes,Male,31,Married,Master,Life Sciences,Travel_Rarely,Low,2,High,76,18,Yes,12,7,Medium,3,Good,Excellent,6172,5836.233333
1,164,Research & Development,Research Scientist,No,Female,26,Married,Bachelor,Other,Travel_Rarely,Medium,1,Medium,46,19,No,5,4,High,3,Good,Excellent,2368,5836.233333
1,165,Research & Development,Healthcare Representative,Yes,Female,58,Married,Master,Medical,Travel_Rarely,High,3,Very High,94,12,No,40,15,Very High,3,Good,Excellent,10312,5836.233333
1,167,Sales,Sales Representative,Yes,Male,19,Single,Below College,Marketing,Travel_Rarely,High,1,High,50,19,Yes,0,0,Very High,2,Good,Excellent,1675,5836.233333
1,169,Research & Development,Laboratory Technician,No,Male,22,Married,Below College,Technical Degree,Travel_Rarely,High,1,Very High,100,14,No,3,2,High,2,Better,Excellent,2523,5836.233333
1,170,Research & Development,Manufacturing Director,No,Female,49,Married,Master,Medical,Travel_Rarely,High,2,Low,96,14,No,16,5,High,2,Good,Excellent,6567,5836.233333
1,171,Research & Development,Research Scientist,No,Female,43,Single,Bachelor,Medical,Travel_Frequently,Very High,1,High,72,12,No,18,1,Medium,2,Better,Excellent,4739,5836.233333
1,174,Sales,Sales Executive,No,Female,50,Single,Bachelor,Marketing,Travel_Frequently,High,3,Very High,77,11,No,16,2,High,3,Better,Excellent,9208,5836.233333
1,175,Sales,Sales Executive,Yes,Female,31,Married,Bachelor,Life Sciences,Travel_Rarely,Low,2,High,71,11,Yes,4,2,Medium,2,Better,Excellent,4559,5836.233333
1,176,Sales,Sales Executive,No,Male,41,Divorced,Below College,Life Sciences,Travel_Rarely,High,3,High,96,13,Yes,12,0,High,2,Better,Excellent,8189,5836.233333
1,177,Human Resources,Human Resources,No,Female,26,Married,Below College,Life Sciences,Travel_Rarely,High,1,High,61,23,No,8,5,High,3,Better,Outstanding,2942,5836.233333
1,178,Research & Development,Manufacturing Director,No,Male,36,Divorced,College,Medical,Travel_Rarely,High,2,Medium,84,20,No,7,0,Medium,0,Better,Outstanding,4941,5836.233333
1,179,Research & Development,Manufacturing Director,Yes,Male,51,Single,Master,Life Sciences,Travel_Frequently,Low,3,Very High,53,15,No,18,0,Low,2,Better,Excellent,10650,5836.233333
1,182,Sales,Sales Executive,No,Female,39,Married,Master,Life Sciences,Travel_Rarely,Medium,2,High,47,14,No,17,5,Very High,1,Best,Excellent,5902,5836.233333
1,183,Sales,Sales Executive,No,Male,25,Married,Bachelor,Life Sciences,Travel_Rarely,Medium,2,High,41,18,No,6,2,Low,3,Better,Excellent,8639,5836.233333
1,184,Human Resources,Human Resources,No,Male,30,Married,Bachelor,Human Resources,Travel_Rarely,High,2,Very High,48,19,Yes,12,4,High,2,Bad,Excellent,6347,5836.233333
1,190,Research & Development,Laboratory Technician,Yes,Female,32,Single,Bachelor,Medical,Travel_Rarely,High,1,Low,41,22,No,10,0,Low,2,Best,Outstanding,4200,5836.233333
1,192,Research & Development,Research Scientist,No,Male,45,Single,Bachelor,Medical,Travel_Rarely,High,1,Very High,83,13,No,9,0,High,2,Good,Excellent,3452,5836.233333
1,193,Research & Development,Research Scientist,No,Female,38,Single,Doctor,Technical Degree,Travel_Rarely,High,2,High,32,20,Yes,19,2,Very High,2,Better,Outstanding,4317,5836.233333
1,194,Research & Development,Research Scientist,No,Female,30,Single,Bachelor,Life Sciences,Travel_Rarely,High,1,High,75,14,No,5,0,Low,4,Good,Excellent,2632,5836.233333
1,195,Sales,Sales Executive,No,Male,32,Divorced,College,Medical,Travel_Frequently,Low,2,Very High,35,17,No,9,0,Very High,2,Best,Excellent,4668,5836.233333
1,197,Research & Development,Research Scientist,No,Female,30,Divorced,Bachelor,Technical Degree,Travel_Rarely,High,1,Low,84,14,No,8,2,Very High,3,Better,Excellent,3204,5836.233333
1,198,Research & Development,Laboratory Technician,No,Male,30,Single,Below College,Medical,Travel_Rarely,Medium,1,Very High,35,13,No,6,1,Medium,3,Better,Excellent,2720,5836.233333
1,199,Research & Development,Manager,No,Male,41,Divorced,Bachelor,Life Sciences,Travel_Frequently,Medium,4,Low,91,13,No,21,7,Very High,2,Good,Excellent,17181,5836.233333
1,200,Research & Development,Laboratory Technician,No,Male,41,Married,Master,Life Sciences,Travel_Rarely,High,1,Low,94,21,No,7,1,High,2,Better,Outstanding,2238,5836.233333
1,201,Research & Development,Laboratory Technician,No,Female,19,Single,Below College,Medical,Travel_Rarely,High,1,Medium,79,14,No,1,0,Medium,3,Better,Excellent,1483,5836.233333
1,202,Research & Development,Research Scientist,No,Female,40,Divorced,Bachelor,Medical,Travel_Frequently,High,2,Medium,54,11,No,20,2,Medium,2,Better,Excellent,5605,5072.3
1,204,Sales,Sales Executive,No,Male,35,Married,Doctor,Marketing,Travel_Rarely,High,3,Medium,94,13,No,10,0,High,3,Better,Excellent,7295,5072.3
1,205,Sales,Sales Representative,No,Male,53,Married,College,Marketing,Travel_Rarely,High,2,High,34,20,Yes,13,4,Medium,3,Bad,Outstanding,2306,5072.3
1,206,Research & Development,Laboratory Technician,No,Male,45,Divorced,Bachelor,Life Sciences,Travel_Rarely,High,2,Medium,60,18,No,20,0,Medium,2,Bad,Excellent,2348,5072.3
1,207,Sales,Sales Executive,No,Female,32,Single,Bachelor,Marketing,Travel_Frequently,High,3,Very High,43,14,No,9,3,Medium,2,Better,Excellent,8998,5072.3
1,208,Research & Development,Manufacturing Director,No,Male,29,Married,Below College,Technical Degree,Non-Travel,High,2,High,41,13,No,10,0,Very High,1,Better,Excellent,4319,5072.3
1,211,Research & Development,Manufacturing Director,No,Male,51,Married,Master,Medical,Travel_Rarely,Medium,2,High,34,17,No,10,0,Medium,2,Better,Excellent,6132,5072.3
